updates,tokens,loss,lr,mask_rate,seq_len,walk_len,seconds
50,946244,9.472565650939941,2.838732e-06,0.6999373235604724,18.4867441633291,2.5897040148481,6.820253372192383
100,1893951,9.296738624572754,5.6818529999999995e-06,0.6997489064726718,18.515326755885514,2.5923024323532284,13.057018518447876
150,2840723,9.00201416015625,8.522169e-06,0.6994351204986089,18.497059685454722,2.590641789586793,19.291335821151733
200,3792627,8.62710952758789,1.1377881e-05,0.6989931186307209,18.59914028917546,2.5999218444704963,25.570090770721436
250,4742039,8.16861629486084,1.4226116999999999e-05,0.6984259146285735,18.548637296082838,2.595330663280258,31.821702003479004
300,5693365,7.764504909515381,1.7080095e-05,0.6977309916483743,18.58603106378822,2.59873009670802,38.05482363700867
350,6642304,7.550642013549805,1.9926911999999997e-05,0.6969115858300109,18.539396307511968,2.594490573410179,44.30212211608887
400,7592162,7.154360294342041,2.2776486e-05,0.6959651353316029,18.55916373583431,2.596287612348574,50.58372354507446
450,8538780,6.938867568969727,2.5616339999999997e-05,0.694896246527812,18.494050991501418,2.590368271954674,56.81834816932678
500,9487873,6.590076923370361,2.8463618999999998e-05,0.693698618615511,18.542405001465273,2.5947640910422973,63.146496295928955
550,10437203,6.252727508544922,3.1311609e-05,0.6923745355475753,18.548847205939822,2.5953497459945294,69.41212487220764
600,11383843,5.863213539123535,3.4151529e-05,0.6909285682985946,18.494480804923317,2.5904073459021197,75.64061570167542
650,12332837,5.462606430053711,3.6998511e-05,0.6893530792072001,18.540470841066718,2.5945882582787925,81.87564063072205
700,13286286,4.997283935546875,3.9858858e-05,0.6876432223028343,18.62750805900166,2.6025007326365146,88.11278533935547
750,14230831,4.555281162261963,4.269249299999999e-05,0.6858238414334606,18.455353653771006,2.5868503321610006,94.3733184337616
800,15179275,4.054028511047363,4.553782499999999e-05,0.6838712727332062,18.529725505519195,2.593611409592654,100.60004091262817
850,16130381,3.593585968017578,4.8391142999999996e-05,0.6817867566156387,18.58173292956921,2.5983393572335647,106.83165860176086
900,17074365,3.0951735973358154,5.1223094999999994e-05,0.6795926241892742,18.44439234075811,2.5858538491598284,113.0858964920044
950,18024987,2.656883478164673,5.407496099999999e-05,0.6772569890554881,18.57227703428739,2.5974797303897628,119.32013154029846
1000,18971297,2.1946933269500732,5.691389099999999e-05,0.6748062923096453,18.488033603594804,2.5898212366904367,125.59942054748535
1050,19922557,1.9637495279312134,5.9767670999999994e-05,0.6722164205807225,18.584741623522515,2.598612874865683,131.85181260108948
1100,20868532,1.6186161041259766,6.260559599999999e-05,0.6695153060515483,18.48329425556858,2.589390386869871,138.1221616268158
1150,21814787,1.574257493019104,6.544436099999999e-05,0.6666880547701242,18.48695907004005,2.5897235518218227,144.3629686832428
1200,22762483,1.4621672630310059,6.8287449e-05,0.6637308557372298,18.515111849174563,2.5922828953795056,150.60214614868164
1250,23707187,1.3641828298568726,7.1121561e-05,0.6606578499182921,18.456657223796032,2.586968838526912,156.9299614429474
1300,24654251,1.3281948566436768,7.3962753e-05,0.6574517535340298,18.50457209847597,2.591324736225088,163.23230648040771
1350,25602431,1.2583141326904297,7.680729299999999e-05,0.6541160868823167,18.524567744456384,2.5931425222233075,169.47012972831726
1400,26550952,1.126632571220398,7.9652856e-05,0.6506532863525587,18.531229852495848,2.5937481684087134,175.74516415596008
1450,27499017,1.0814355611801147,8.249705099999999e-05,0.6470662844823598,18.52413051973427,2.5931027745212973,182.17890119552612
1500,28446350,1.1097618341445923,8.533905e-05,0.643356362017425,18.508019927713196,2.591638175246654,188.66066694259644
1550,29396477,1.1162333488464355,8.818943099999999e-05,0.6395092997991929,18.562606232294616,2.596600566572238,218.82289719581604
1600,30344393,1.0971362590789795,9.1033179e-05,0.6355452469423085,18.519409983393572,2.592673634853961,225.06138944625854
1650,31294570,1.0418000221252441,9.388370999999999e-05,0.631445492196057,18.56539663931223,2.596854239937475,231.32553219795227
1700,32247370,1.0106197595596313,9.674211e-05,0.627207498965817,18.614828563055582,2.601348051186871,237.5519893169403
1750,33196507,0.9562528133392334,9.958952099999999e-05,0.6228594346099265,18.543264628309075,2.5948422389371886,243.7651765346527
1800,34140942,0.8464484810829163,0.00010242282599999998,0.6184077255546845,18.453204376709653,2.586654943337241,250.03143882751465
1850,35084942,0.9962131381034851,0.000105254826,0.6138332791399644,18.442903194295205,2.585718472208655,256.2573890686035
1900,36035223,0.9627551436424255,0.00010810566899999999,0.609102389233819,18.565614926247925,2.596874084204357,262.48365116119385
1950,36982193,0.8772047758102417,0.00011094657899999998,0.6042622180637525,18.500928006251833,2.590993455113803,268.7177309989929
2000,37929455,0.8697730302810669,0.000113788365,0.5992949510382082,18.508440797186402,2.591676436107855,274.96935653686523
2050,38876623,1.029815435409546,0.000116629869,0.594202572888111,18.50479632704894,2.591345120640813,281.3413827419281
2100,39829170,0.7359304428100586,0.00011948750999999998,0.588954605197777,18.60988570870372,2.6008987007912476,287.7591588497162
2150,40776426,0.9472228288650513,0.000122329278,0.5836098157866567,18.506515580736544,2.591501416430595,293.9994397163391
2200,41723919,1.0202940702438354,0.000125171757,0.5781380208297007,18.51295427901524,2.592086752637749,300.2751545906067
2250,42671846,0.8564068675041199,0.000128015538,0.5725379491266598,18.519624890104524,2.5926931718276838,306.5140538215637
2300,43621071,0.817615270614624,0.00013086321299999999,0.5668041515369071,18.54498388199668,2.5949985347269706,312.7602334022522
2350,44566518,0.8711194396018982,0.000133699554,0.5609677831348973,18.47297772567409,2.5884525205158266,319.01532769203186
2400,45513246,0.8231825828552246,0.00013653973799999998,0.5549981106980438,18.49620005861092,2.590563641691902,325.26100611686707
2450,46461943,0.9232015013694763,0.000139385829,0.5488901496865325,18.534668359871056,2.594060759988278,331.50826120376587
2500,47407230,0.8097220063209534,0.00014222168999999997,0.5426788180608969,18.46804727947641,2.588004298134219,337.73294734954834
2550,48355933,0.8424496650695801,0.000145067799,0.5363192620589657,18.536596326690113,2.594236029699101,343.9963285923004
2600,49303266,0.8392245769500732,0.00014790979799999998,0.529843157321327,18.508019927713196,2.591638175246654,350.2240104675293
2650,50248102,0.799153208732605,0.000150744306,0.5232589771778318,18.459236104327438,2.5872032822115854,356.4407546520233
2700,51192548,0.8103373646736145,0.00015357764399999998,0.5165526120487386,18.45341930441579,2.586674482219617,362.6926853656769
2750,52139419,0.8163080215454102,0.000156418257,0.5097036690439707,18.498993845853278,2.590817622350298,368.91414070129395
2800,53087885,0.7942175269126892,0.00015926365499999997,0.5027173526358742,18.530155318941095,2.5936504835400993,375.14336013793945
2850,54034932,0.8022210001945496,0.00016210479599999998,0.49561582866287623,18.502432353228485,2.5911302139298624,381.38555240631104
2900,54981677,0.9140180349349976,0.00016494503099999999,0.48839106359873696,18.498339194998046,2.590758108636186,387.74733805656433
2950,55928933,0.7507799863815308,0.000167786799,0.48103681174370566,18.506515580736544,2.591501416430595,394.1464924812317
3000,56877509,0.8520686030387878,0.00017063252699999997,0.47354642789684426,18.5323043860506,2.5938458532773274,400.5700306892395
3050,57827356,0.7777180075645447,0.000173482068,0.4659197828634485,18.558948808128175,2.596268073466198,411.2121787071228
3100,58776658,0.8636201620101929,0.000176329974,0.4581713132045725,18.54648822897333,2.5951352935430303,484.491051197052
3150,59721956,0.7052084803581238,0.00017916586799999998,0.45033015800738446,18.46826218618736,2.5880238351079417,501.3113434314728
3200,60665890,0.7862560749053955,0.00018199767,0.44237548533555293,18.4416137540295,2.5856012503663184,517.3977913856506
3250,61616375,0.6799724102020264,0.000184849125,0.4342395632301562,18.571414615084016,2.5974013286440014,533.2606000900269
3300,62561376,0.7055171132087708,0.00018768412799999998,0.4260251963090636,18.462459704991698,2.587496336817427,549.9260766506195
3350,63515397,0.7402711510658264,0.000190546191,0.41760560407526737,18.638683207971084,2.6035166552700986,566.082489490509
3400,64462444,0.6655625700950623,0.000193387332,0.4091215319482805,18.502432353228485,2.5911302139298624,582.3494715690613
3450,65414051,0.6415653824806213,0.000196242153,0.40047013522385794,18.593337241109808,2.599394294646346,598.9693176746368
3500,66358865,0.7393553256988525,0.00019907659499999997,0.39175507251382424,18.45880629090554,2.5871642082641397,615.1622474193573
3550,67304845,0.8650496602058411,0.000201914535,0.3829040487668182,18.481586402266288,2.5892351274787533,631.7780401706696
